date,ticker_leg1,ticker_leg2,value,spread,year,delivery_date,days_to_delivery
2018-11-27,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4599990844726989,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,947
2018-11-28,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5270004272461009,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,946
2018-11-29,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4659996032714986,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,945
2018-11-30,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4639987945556001,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,944
2018-12-01,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4639987945556001,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,943
2018-12-02,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4639987945556001,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,942
2018-12-03,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5020008087158025,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,941
2018-12-04,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4879989624024006,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,940
2018-12-05,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5380001068115021,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,939
2018-12-06,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4580001831053977,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,938
2018-12-07,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.434999465942301,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,937
2018-12-08,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.434999465942301,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,936
2018-12-09,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.434999465942301,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,935
2018-12-10,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.4670009613037003,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,934
2018-12-11,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5399990081786967,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,933
2018-12-12,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5520000457763992,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,932
2018-12-13,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.514999389648402,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,931
2018-12-14,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5450000762938991,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,930
2018-12-15,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5450000762938991,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,929
2018-12-16,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5450000762938991,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,928
2018-12-17,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5219993591308985,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,927
2018-12-18,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5209999084472976,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,926
2018-12-19,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5680007934570988,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,925
2018-12-20,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5279998779295987,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,924
2018-12-21,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5440006256104013,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,923
2018-12-22,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5440006256104013,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,922
2018-12-23,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5440006256104013,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,921
2018-12-24,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.514999389648498,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,920
2018-12-25,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.514999389648498,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,919
2018-12-26,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.514999389648498,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,918
2018-12-27,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5930004119873011,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,917
2018-12-28,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5930004119873011,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,916
2018-12-29,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5930004119873011,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,915
2017-12-29,ttf_baseload_q3_2020,ttf_baseload_q4_2020,-1.1739997863768998,ttf_baseload_q3_2020-ttf_baseload_q4_2020,2020,2020-07-01,915
2018-12-30,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5930004119873011,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,914
2017-12-30,ttf_baseload_q3_2020,ttf_baseload_q4_2020,-1.1739997863768998,ttf_baseload_q3_2020-ttf_baseload_q4_2020,2020,2020-07-01,914
2017-12-31,ttf_baseload_q3_2020,ttf_baseload_q4_2020,-1.1739997863768998,ttf_baseload_q3_2020-ttf_baseload_q4_2020,2020,2020-07-01,913
2015-12-31,ttf_baseload_q3_2018,ttf_baseload_q4_2018,-0.9840002059937003,ttf_baseload_q3_2018-ttf_baseload_q4_2018,2018,2018-07-01,913
2018-12-31,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5779991149901988,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,913
2016-12-30,ttf_baseload_q3_2019,ttf_baseload_q4_2019,-1.1219997406006001,ttf_baseload_q3_2019-ttf_baseload_q4_2019,2019,2019-07-01,913
2018-01-01,ttf_baseload_q3_2020,ttf_baseload_q4_2020,-1.1739997863768998,ttf_baseload_q3_2020-ttf_baseload_q4_2020,2020,2020-07-01,912
2016-01-01,ttf_baseload_q3_2018,ttf_baseload_q4_2018,-0.9840002059937003,ttf_baseload_q3_2018-ttf_baseload_q4_2018,2018,2018-07-01,912
2016-12-31,ttf_baseload_q3_2019,ttf_baseload_q4_2019,-1.1219997406006001,ttf_baseload_q3_2019-ttf_baseload_q4_2019,2019,2019-07-01,912
2019-01-01,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5779991149901988,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,912
2018-01-02,ttf_baseload_q3_2020,ttf_baseload_q4_2020,-1.279999160766602,ttf_baseload_q3_2020-ttf_baseload_q4_2020,2020,2020-07-01,911
2016-01-02,ttf_baseload_q3_2018,ttf_baseload_q4_2018,-0.9840002059937003,ttf_baseload_q3_2018-ttf_baseload_q4_2018,2018,2018-07-01,911
2017-01-01,ttf_baseload_q3_2019,ttf_baseload_q4_2019,-1.1219997406006001,ttf_baseload_q3_2019-ttf_baseload_q4_2019,2019,2019-07-01,911
2019-01-02,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.3960007781982,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,911
2018-01-03,ttf_baseload_q3_2020,ttf_baseload_q4_2020,-1.2989994049072031,ttf_baseload_q3_2020-ttf_baseload_q4_2020,2020,2020-07-01,910
2019-01-03,ttf_baseload_q3_2021,ttf_baseload_q4_2021,-1.5470006103516027,ttf_baseload_q3_2021-ttf_baseload_q4_2021,2021,2021-07-01,910
2017-01-02,ttf_baseload_q3_2019,ttf_baseload_q4_2019,-1.1219997406006001,ttf_baseload_q3_2019-ttf_baseload_q4_2019,2019,2019-07-01,910
